symbol,charge,CN,Spin State,crystal radius,ionic radius,Key*,species,covalent,empirical,metallic
Ac,3,6,,1.26,1.12,R,Ac3+,,1.95,
Ag,1,2,,0.81,0.67,,Ag1+,1.53,1.6,1.44
Ag,1,4,,1.14,1,C,Ag1+,1.53,1.6,1.44
Ag,1,4sq,,1.16,1.02,,Ag1+,1.53,1.6,1.44
Ag,1,5,,1.23,1.09,C,Ag1+,1.53,1.6,1.44
Ag,1,6,,1.29,1.15,C,Ag1+,1.53,1.6,1.44
Ag,1,7,,1.36,1.22,,Ag1+,1.53,1.6,1.44
Ag,1,8,,1.42,1.28,,Ag1+,1.53,1.6,1.44
Ag,2,4sq,,0.93,0.79,,Ag2+,1.53,1.6,1.44
Ag,2,6,,1.08,0.94,,Ag2+,1.53,1.6,1.44
Ag,3,4sq,,0.81,0.67,,Ag3+,1.53,1.6,1.44
Ag,3,6,,0.89,0.75,R,Ag3+,1.53,1.6,1.44
Al,3,4,,0.53,0.39,*,Al3+,1.18,1.25,1.43
Al,3,5,,0.62,0.48,,Al3+,1.18,1.25,1.43
Al,3,6,,0.675,0.535,R*,Al3+,1.18,1.25,1.43
Am,2,7,,1.35,1.21,,Am2+,,1.75,1.73
Am,2,8,,1.4,1.26,,Am2+,,1.75,1.73
Am,2,9,,1.45,1.31,,Am2+,,1.75,1.73
Am,3,6,,1.115,0.975,R,Am3+,,1.75,1.73
Am,3,8,,1.23,1.09,,Am3+,,1.75,1.73
Am,4,6,,0.99,0.85,R,Am4+,,1.75,1.73
Am,4,8,,1.09,0.95,,Am4+,,1.75,1.73
As,3,6,,0.72,0.58,A,As3+,1.19,1.1500000000000001,
As,5,4,,0.475,0.335,R*,As5+,1.19,1.1500000000000001,
As,5,6,,0.6,0.46,C*,As5+,1.19,1.1500000000000001,
At,7,6,,0.76,0.62,A,At7+,,,
Au,1,6,,1.51,1.37,A,Au1+,1.44,1.35,1.44
Au,3,4sq,,0.82,0.68,,Au3+,1.44,1.35,1.44
Au,3,6,,0.99,0.85,A,Au3+,1.44,1.35,1.44
Au,5,6,,0.71,0.57,,Au5+,1.44,1.35,1.44
B,3,3,,0.15,0.01,*,B3+,0.8200000000000001,0.85,
B,3,4,,0.25,0.11,*,B3+,0.8200000000000001,0.85,
B,3,6,,0.41,0.27,C,B3+,0.8200000000000001,0.85,
Ba,2,6,,1.49,1.35,,Ba2+,1.98,2.15,2.22
Ba,2,7,,1.52,1.38,C,Ba2+,1.98,2.15,2.22
Ba,2,8,,1.56,1.42,,Ba2+,1.98,2.15,2.22
Ba,2,9,,1.61,1.47,,Ba2+,1.98,2.15,2.22
Ba,2,10,,1.66,1.52,,Ba2+,1.98,2.15,2.22
Ba,2,11,,1.71,1.57,,Ba2+,1.98,2.15,2.22
Ba,2,12,,1.75,1.61,C,Ba2+,1.98,2.15,2.22
Be,2,3,,0.3,0.16,,Be2+,0.9,1.05,1.12
Be,2,4,,0.41,0.27,*,Be2+,0.9,1.05,1.12
Be,2,6,,0.59,0.45,C,Be2+,0.9,1.05,1.12
Bi,3,5,,1.1,0.96,C,Bi3+,1.46,1.6,
Bi,3,6,,1.17,1.03,R*,Bi3+,1.46,1.6,
Bi,3,8,,1.31,1.17,R,Bi3+,1.46,1.6,
Bi,5,6,,0.9,0.76,E,Bi5+,1.46,1.6,
Bk,3,6,,1.1,0.96,R,Bk3+,,,1.7
Bk,4,6,,0.97,0.83,R,Bk4+,,,1.7
Bk,4,8,,1.07,0.93,R,Bk4+,,,1.7
Br,-1,6,,1.82,1.96,P,Br1-,1.1400000000000001,1.1500000000000001,
Br,3,4sq,,0.73,0.59,,Br3+,1.1400000000000001,1.1500000000000001,
Br,5,3py,,0.45,0.31,,Br5+,1.1400000000000001,1.1500000000000001,
Br,7,4,,0.39,0.25,,Br7+,1.1400000000000001,1.1500000000000001,
Br,7,6,,0.53,0.39,A,Br7+,1.1400000000000001,1.1500000000000001,
C,4,3,,0.06,-0.08,,C4+,0.77,0.7000000000000001,
C,4,4,,0.29,0.15,P,C4+,0.77,0.7000000000000001,
C,4,6,,0.3,0.16,A,C4+,0.77,0.7000000000000001,
Ca,2,6,,1.14,1,,Ca2+,1.74,1.8,1.97
Ca,2,7,,1.2,1.06,*,Ca2+,1.74,1.8,1.97
Ca,2,8,,1.26,1.12,*,Ca2+,1.74,1.8,1.97
Ca,2,9,,1.32,1.18,,Ca2+,1.74,1.8,1.97
Ca,2,10,,1.37,1.23,C,Ca2+,1.74,1.8,1.97
Ca,2,12,,1.48,1.34,C,Ca2+,1.74,1.8,1.97
Cd,2,4,,0.92,0.78,,Cd2+,1.48,1.55,1.51
Cd,2,5,,1.01,0.87,,Cd2+,1.48,1.55,1.51
